Book_ID,Title,Author_First,Author_Last,Image_Path,Review_Score,Description
97,The Art of Computer Programming Volume 1,Donald,Knuth,./images/Bookshelf_Images/All_Textbook_Images/The_Art_of_Computer_Programming_Volume_1.JPG,4,The Art of Computer Programming is a comprehensive monograph written by computer scientist Donald Knuth that covers many kinds of programming algorithms and their analysis.
98,The Art of Computer Programming Volume 2,Donald,Knuth,./images/Bookshelf_Images/All_Textbook_Images/The_Art_of_Computer_Programming_Volume_2.JPG,3,The Art of Computer Programming is a comprehensive monograph written by computer scientist Donald Knuth that covers many kinds of programming algorithms and their analysis.
99,The Art of Computer Programming Volume 3,Donald,Knuth,./images/Bookshelf_Images/All_Textbook_Images/The_Art_of_Computer_Programming_Volume_3.JPG,4,The Art of Computer Programming is a comprehensive monograph written by computer scientist Donald Knuth that covers many kinds of programming algorithms and their analysis.
100,The Art of Computer Programming Volume 4A,Donald,Knuth,./images/Bookshelf_Images/All_Textbook_Images/The_Art_of_Computer_Programming_Volume_4A.JPG,4,The Art of Computer Programming is a comprehensive monograph written by computer scientist Donald Knuth that covers many kinds of programming algorithms and their analysis.
101,The Art of Electronics,Paul,Horowitz,./images/Bookshelf_Images/All_Textbook_Images/The_Art_of_Electronics.JPG,5,"The Art of Electronics, by Paul Horowitz and Winfield Hill, is a popular reference textbook dealing with analog and digital electronics."
102,The Art of Electronics X Chapters,Paul,Horowitz,./images/Bookshelf_Images/All_Textbook_Images/The_Art_of_Electronics_X_Chapters.JPG,5,"The Art of Electronics, by Paul Horowitz and Winfield Hill, is a popular reference textbook dealing with analog and digital electronics."
103,The Basics of Hacking & Penetration Testing,Patrick,Engebretson,./images/Bookshelf_Images/All_Textbook_Images/The_Basics_of_Hacking_&_Penetration_Testing.JPG,4,The Basics of Hacking and Penetration Testing serves as an introduction to the steps required to complete a penetration test or perform an ethical hack from beginning to end. This book makes ethical hacking and penetration testing easy – no prior hacking experience is required.
104,The C Programming Language,Brian,Kernighan,./images/Bookshelf_Images/All_Textbook_Images/The_C_Programming_Language.JPG,4,"The C Programming Language is a computer programming book written by Brian Kernighan and Dennis Ritchie, the latter of whom originally designed and implemented the language, as well as co-designed the Unix operating system with which development of the language was closely intertwined."
105,The Feynman Lectures Volume 1,Richard,Feynman,./images/Bookshelf_Images/All_Textbook_Images/The_Feynman_Lectures_Volume_1.JPG,5,"The Feynman Lectures on Physics is a physics textbook based on some lectures by Richard Feynman, a Nobel laureate who has sometimes been called ""The Great Explainer"". The lectures were presented before undergraduate students at the California Institute of Technology, during 1961–1963."
106,The Feynman Lectures Volume 2,Richard,Feynman,./images/Bookshelf_Images/All_Textbook_Images/The_Feynman_Lectures_Volume_2.JPG,5,"The Feynman Lectures on Physics is a physics textbook based on some lectures by Richard Feynman, a Nobel laureate who has sometimes been called ""The Great Explainer"". The lectures were presented before undergraduate students at the California Institute of Technology, during 1961–1963."
107,The Feynman Lectures Volume 3,Richard,Feynman,./images/Bookshelf_Images/All_Textbook_Images/The_Feynman_Lectures_Volume_3.JPG,5,"The Feynman Lectures on Physics is a physics textbook based on some lectures by Richard Feynman, a Nobel laureate who has sometimes been called ""The Great Explainer"". The lectures were presented before undergraduate students at the California Institute of Technology, during 1961–1963."
108,The Hacker Playbook,Peter,Kim,./images/Bookshelf_Images/All_Textbook_Images/The_Hacker_Playbook.JPG,4,"Just as a professional athlete doesn't show up without a solid game plan, ethical hackers, IT professionals, and security researchers should not be unprepared, either. The Hacker Playbook provides them their own game plans."
109,The Linux Command Line,William,Shotts,./images/Bookshelf_Images/All_Textbook_Images/The_Linux_Command_Line.JPG,4,"You've experienced the shiny, point-and-click surface of your Linux computer--now dive below and explore its depths with the power of the command line. The Linux Command Line takes you from your very first terminal keystrokes to writing full programs in Bash, the most popular Linux shell."
110,The Python Bible,Maurice,Thompson,./images/Bookshelf_Images/All_Textbook_Images/The_Python_Bible.JPG,2,Become A Python Expert From Scratch!Python's popularity is growing tremendously and it's becoming more and more relevant economically and technologically.
111,The Trachenburg Method,John,Carlin,./images/Bookshelf_Images/All_Textbook_Images/The_Trachenburg_Method.JPG,3,"This book will teach you quickly how to amaze yourself, your friends and your teachers with incredible calculations done without any effort at all. You will hardly do any multiplication at all. "
112,The Volatility Surface,Jim,Gatheral,./images/Bookshelf_Images/All_Textbook_Images/The_Volatility.JPG,3,"Jim Gatheral is an acknowledged master of advanced modeling for derivatives. In The Volatility Surface he reveals the secrets of dealing with the most important but most elusive of financial quantities, volatility."
113,This Machine Kills Secrets,Andy,Greenburg,./images/Bookshelf_Images/All_Textbook_Images/This_Machine_Kills_Secrets.JPG,5,"This Machine Kills Secrets is a 2012 book by Andy Greenberg. The subject of the book is ""politically motivated information leaks ... the lives and work of numerous cryptographers, hackers and whistleblowers"", including WikiLeaks."
114,Thomas' Calculus,George,Thomas,./images/Bookshelf_Images/All_Textbook_Images/Thomas'_Calculus.JPG,3,"Thomas' Calculus helps students reach the level of mathematical proficiency and maturity you require, but with support for students who need it through its balance of clear and intuitive explanations, current applications, and generalized concepts."
115,Time Series Analysis & it's Applications,Robert,Shumway,./images/Bookshelf_Images/All_Textbook_Images/Time_Series_Analysis_&_it's_Applications.JPG,3,"The fourth edition of this popular graduate textbook, like its predecessors, presents a balanced and comprehensive treatment of both time and frequency domain methods with accompanying theory."
116,Topology a First Course,James,Munkres,./images/Bookshelf_Images/All_Textbook_Images/Topology_a_First_Course.JPG,4,"This introduction to topology provides separate, in-depth coverage of both general topology and algebraic topology. Includes many examples and figures."
117,Understanding Analysis,Stephen,Abbott,./images/Bookshelf_Images/All_Textbook_Images/Understanding_Analysis.JPG,4,"This book outlines an elementary, one-semester course that exposes students to both the process of rigor, and the rewards inherent in taking an axiomatic approach to the study of functions of a real variable. "
118,Vector Calculus,Susan,Colley,./images/Bookshelf_Images/All_Textbook_Images/Vector_Calculus.JPG,3,"This text uses the language and notation of vectors and matrices to clarify issues in multivariable calculus. Accessible to anyone with a good background in single-variable calculus, it presents more linear algebra than usually found in a multivariable calculus book."
